url,id,тип объявления,регион,статус,тип_животного,окрас,порода,место события,дата_публикации,пол,возраст,описание,Длина_описания_в_словах,наличие_описания,есть_фото,количество_фото,количество_комментариев,дата пропажи,есть_контакты
https://pet911.ru/moskovskaya-oblast/lost/cat/rl1076681,rl1076681,потерян,Moskovskaya Oblast,в поиске,кошка,Неизвестно,Неизвестно,Московская область,"пт, 26.09.2025",Мужской,Неизвестно,"Ушел рано утром погулять на улицу за участок и не вернулся. Котик рыжего цвета с белыми блеклыми полосками. Желтые глаза. Очень любопытный, иногда забегает в открытые гаражи/тех. Помещения. Не боится людей, громко мяукает.",33,True,True,3,5,"чт, 25.09.2025",True
https://pet911.ru/moskovskaya-oblast/lost/dog/rl1075785,rl1075785,потерян,Moskovskaya Oblast,питомец найден,собака,белые,чихуахуа,"А-108, Московская область","ср, 24.09.2025",Женский,Неизвестно,"В Чеховском районе, ПРОПАЛА девочка, породы чихуахуа, окрас светло кремовый, на кончиках лапки белые, глазки бусинки , мордочка вытянута - похожа на лисичку, длинношерстная , активная , любознательная, но на чужих может лаять. Не в первый раз вышла гулять на территорию частного дома и не вернулась! ПОМОГИТЕ пожалуйста её найти. ВОЗНАГРАЖДЕНИЕ гарантирую !!!",53,True,True,1,0,"вт, 23.09.2025",True
https://pet911.ru/lost/dog/rl1079004,rl1079004,потерян,,в поиске,собака,рыжий,Неизвестно,"29К-012, Величково","вт, 30.09.2025",Мужской,Неизвестно,"Рыжий окрас, собака добрая не агресивен К него есть клеймо.",10,True,True,1,3,"вт, 30.09.2025",True
https://pet911.ru/lost/dog/rl1085626,rl1085626,потерян,,в поиске,собака,рыжий,Неизвестно,"Овражная улица, Толочаново","вс, 12.10.2025",Мужской,Неизвестно,"Алабай, рыжий с белым. Слабый , после лечения",8,True,True,1,5,"ср, 08.10.2025",True
https://pet911.ru/moskovskaya-oblast/lost/cat/rl1095258,rl1095258,потерян,Moskovskaya Oblast,в поиске,кошка,белая,Неизвестно,"Алфёрово, Московская область","чт, 30.10.2025",Женский,Неизвестно,"Вислоухая, белая с серыми пятнами, стройная, большие голубые глаза, спокойная и тихая!",12,True,True,6,2,"вт, 07.10.2025",True
https://pet911.ru/selyatino/lost/dog/rl1075511,rl1075511,потерян,Selyatino,в поиске,собака,Неизвестно,Неизвестно,"Промышленная улица, 21, Селятино","ср, 24.09.2025",Мужской,"12, год","Возраст 12 лет, рост 70 см. Собака адекватная. Просьба к тем кто его увидит, придержите его пожалуйста и позвоните по телефону: 8-925-578 Юлия, 8-901-335-47-02 Ирина.",25,True,True,3,3,"чт, 18.09.2025",True
https://pet911.ru/snegiri/lost/cat/rl1089191,rl1089191,потерян,Snegiri,в поиске,кошка,серый,Неизвестно,"Колхозная улица, 6, Снегири","вс, 19.10.2025",Мужской,Неизвестно,"Хвост только недавно стал опушаться, летом от расчеса на хвосте была лысина. Серый, пушистый",14,True,True,2,3,"сб, 04.10.2025",True
https://pet911.ru/moskovskaya-oblast/lost/cat/rl1089241,rl1089241,потерян,Moskovskaya Oblast,в поиске,кошка,белый,Неизвестно,"Назарьево, Московская область","вс, 19.10.2025",Мужской,Неизвестно,"Белый окрас, желтые (медовые) глаза, общительный, чипирован, длинношерстный Шотландский Прямоухий Может быть сейчас где угодно! Чат поиска: https://t. Me/+WHSt986K0MoxZjE6 ЩЕДРОЕ ВОЗНАГРАЖДЕНИЕ ГАРАНТИРУЕМ ЛЮБАЯ ИНФОРМАЦИЯ ВАЖНА",25,True,True,2,4,"сб, 18.10.2025",True
https://pet911.ru/moskovskaya-oblast/lost/dog/rl1082439,rl1082439,потерян,Moskovskaya Oblast,питомец найден,собака,"черно-рыжего, черно-рыже",Неизвестно,"Кезьмино, Московская область","вт, 07.10.2025",Женский,"11, год","11 лет, черно-рыжего окраса, морда с сединой, уши конвертиком",9,True,True,1,5,"вс, 05.10.2025",True
https://pet911.ru/fryazino/lost/cat/rl1078435,rl1078435,потерян,Fryazino,в поиске,кошка,белый,Неизвестно,"улица Горького, 3, Фрязино","пн, 29.09.2025",Мужской,Неизвестно,"Серо белый окрас в полоску, спокойный, кончик хвоста поломан Мальчик",10,True,True,1,3,"сб, 27.09.2025",True
