url,id,тип объявления,регион,статус,тип_животного,окрас,порода,место события,дата_публикации,пол,возраст,описание,Длина_описания_в_словах,наличие_описания,есть_фото,количество_фото,количество_комментариев,дата находки,есть_контакты
https://pet911.ru/reutov/found/dog/rf1085232,rf1085232,найден,Reutov,ищут хозяина,собака,рыжая,такса,"улица Некрасова, 18, Реутов","вс, 12.10.2025",Неизвестно,Неизвестно,"Рыжая такса, спокойный, послушный, толстый, караулит подъезд 6 у дома 18",11,True,True,1,2,"вс, 12.10.2025",True
https://pet911.ru/moskovskaya-oblast/found/bird/rf1090149,rf1090149,найден,,ищут хозяина,птица,Неизвестно,Неизвестно,"Мытищи, Московская область","вт, 21.10.2025",Неизвестно,Неизвестно,"Наблюдаю этого голубя уже на протяжении нескольких дней на одном и том же месте. С виду не больной, выходит на полянку рядом с переходом, потом уходит в переход и там сидит (или ходит). Не пугливый, кажется будто домашний. Может кто потерял?(",41,True,True,1,3,"вт, 21.10.2025",True
https://pet911.ru/vidnoye/found/cat/rf1092625,rf1092625,найден,Vidnoye,хозяин найден,кошка,Неизвестно,Неизвестно,"Завидная улица, 3, Видное","сб, 25.10.2025",Неизвестно,Неизвестно,Сидела под дверью,3,True,True,2,1,"сб, 25.10.2025",True
https://pet911.ru/moskva/found/cat/rf1082195,rf1082195,найден,Moskva,ищут хозяина,кошка,серый,Неизвестно,"Туристская улица, Москва","пн, 06.10.2025",Неизвестно,Неизвестно,"К дому еще летом прибился серый котик шпрот (а может это и кошка), не дикий, общается если ему что то говоришь, говорит громкое МЯ. К себе подпускает чуть чуть, не очень охотно но и не шарахается, довольно чистенький до сих пор и упитанный. Хвостик короткий и как у белочки.",49,True,True,3,4,"пн, 06.10.2025",True
https://pet911.ru/isakovo-lunevskoye-sp/found/cat/rf1093305,rf1093305,найден,Isakovo Lunevskoye Sp,ищут хозяина,кошка,белый,домашняя,"Рябиновая улица, Исаково","пн, 27.10.2025",Неизвестно,Неизвестно,"Явно домашняя кошка, очень напугана, от страха никуда не убегала. Окрас белый, глаза разного цвета.",15,True,True,2,3,"вс, 26.10.2025",True
https://pet911.ru/moskva/found/cat/rf1089467,rf1089467,найден,Moskva,ищут хозяина,кошка,Неизвестно,Неизвестно,"Софийская набережная, Москва","вс, 19.10.2025",Женский,Неизвестно,,0,False,True,1,3,"вс, 19.10.2025",True
https://pet911.ru/found/dog/rf1085944,rf1085944,найден,,хозяин найден,собака,черный,Неизвестно,"Ногинское шоссе, Московская область","пн, 13.10.2025",Женский,Неизвестно,"Бегала по трассе, скулила и бросилась на машины, увели её на дачи, очень доброжелательная и испугана. Окрас оранжево-черный,",18,True,True,1,5,"пн, 13.10.2025",True
https://pet911.ru/moskva/found/dog/rf1087742,rf1087742,найден,Moskva,ищут хозяина,собака,Неизвестно,метис,"Палисадная улица, Москва","чт, 16.10.2025",Мужской,"8, месяц",Щенок хаски или близкий метис хаски 7-8 месяцев.,8,True,True,2,6,"чт, 09.10.2025",True
https://pet911.ru/balashikha/found/cat/rf1090298,rf1090298,найден,Balashikha,ищут хозяина,кошка,"рыжая, белые",домашняя,"Советская улица, 10А, Балашиха","вт, 21.10.2025",Женский,Неизвестно,"Найдена домашняя кошечка, в Балашихе 1 у ТЦ Пирамида, недалеко от парка Пехорка и магнитом на Советской 10 Преимущество серого окраса, природные белые ""тапочки"" и у мордочки добавляется- бело рыжая расцветка. Шёрстка короткая. По виду мясецев 8-10 Кто потерял ?) на передержку забрали к себе. Звоните по номеру: +7 (953) 011-63-41, Настя",52,True,True,3,8,"вт, 21.10.2025",True
https://pet911.ru/udelnaya/found/cat/rf1088771,rf1088771,найден,Udelnaya,хозяин найден,кошка,рыжий,Неизвестно,"2-й Северный тупик, 3, Удельная","сб, 18.10.2025",Мужской,"знает туалет и ухоженный, чей потеряшка отзовитесь, пишите в личку ватсап 79066835300, могу не ответить по работе тел","Найден молодой кот или подросток котёнок, персиковый окрас или рыжий. Знает туалет и ухоженный, чей потеряшка отзовитесь, пишите в личку ватсап 79066835300, могу не ответить по работе тел . Лежит в ячейке. Как получу ваши сообщение и отвечу.",38,True,True,4,7,"сб, 18.10.2025",True
